country,raw_text,processed_text,word_count,unique_words,lexical_diversity,sentiment_score
fk,"1. In my heart there’s a call for the isles far away
Where the wind from the Horn often wanders at play.
Where the kelp moves and swells to the wind and the tide
And penguins troop down from the lonely hillside.

CHORUS:
Those isles of the sea are calling to me
The smell of the camp fire a dear memory.
Though far I may roam, some day I’ll come home
To the islands, the Falklands, the isles of the sea.

2. There’s a camp house down yonder I’m longing to see,
Though it’s no gilded palace it’s there I would be.
Just to be there again I would race o’er the foam,
For that lone house so far is my own home sweet home.

Chorus

3. Now we’re off to the Falklands, so wild and so free,
Where there’s tussock and kelp and the red diddle-dee,
And the wild rugged beauty that thrills more than me
Is bred in the bones on the isles of the sea.

Chorus",1 heart call isle far away wind horn often wander play kelp move swell wind tide penguin troop lonely hillside choru isle sea call smell camp fire dear memory though far may roam day ill come home island falkland isle sea 2 camp house yonder long see though gilded palace would would race oer foam lone house far home sweet home chorus 3 falkland wild free tussock kelp red diddledee wild rugged beauty thrill breed bone isle sea chorus,79,60,0.759493670886076,0.012658227848101266
az,"Azerbaijan! Azerbaijan!
O Great Land, your children are heroes.
We are ready to be martyred for you.
We are ready to shed blood for you.
Three-coloured flag, flourish honourably!
Three-coloured flag, flourish honourably!
Thousands of lives have been sacrificed.
Your bosom has become a battlefield.
Every devoted soldier
Has become a hero.
You are prospering.
My life is always dedicated to you.
My love for you is embedded in my heart
A thousand and one times.
To preserve everything
And to honour her flag
All the youth are willing.
Great Land! Great Land!
Azerbaijan! Azerbaijan!
Azerbaijan! Azerbaijan!",azerbaijan azerbaijan great land child hero ready martyr ready shed blood threecoloure flag flourish honourably threecoloure flag flourish honourably thousand life sacrifice bosom become battlefield every devoted soldier become hero prosper life always dedicated love embed heart thousand one time preserve everything honour flag youth willing great land great land azerbaijan azerbaijan azerbaijan azerbaijan,54,35,0.6481481481481481,0.07407407407407407
mc,"All the time, over our country,
The same flag has been flying in the wind
All the time, the colours red and white
Have been the symbol of our liberty
Great and small have always respected them.",time country flag fly wind time colour red white symbol liberty great small always respect,15,14,0.9333333333333333,0.13333333333333333
eu,,,0,0,0.0,0.0
fj,"1. Let us show pride and honour our nation
Where righteous people reside
Where prosperity and fellowship may persevere
Abandon deeds that are immoral

CHORUS:
Let Fiji live on
And progress onwards
May our leaders be honourable men
Let them lead our people
To great things
And bring an end to all things immoral

2. The burden of change lie on your shoulders youth of Fiji
Be the strength to cleanse our nation
Be wary and not harbour malice
For we must abandon such sentiments forever

Chorus",1 let we show pride honour nation righteous people reside prosperity fellowship may persevere abandon deed immoral chorus let fiji live progress onwards may leader honourable man let lead people great thing bring end thing immoral 2 burden change lie shoulder youth fiji strength cleanse nation wary harbour malice must abandon sentiment forever chorus,54,44,0.8148148148148148,0.037037037037037035
eh,"O sons of the Sahara! In the battlefield, you are torch holders in the long road
Make revolution in our nation and follow this path for her sake.
Cut off the head of the invader. Cut off the head of the invader.
O revolutionaries, the homeland will be glorious. Cut off the estates in this region.
Remove in war the causes for protest and abandon it; no submission, no yielding.
No agent, no invader, no agent, no invader.
You who ask about us: we are the ones who drive the transforming struggle.
We are the ones who smash that idol, we are the ones who understand the beautiful lesson.
We are the people of the path; we are the people of the path.
We are the ones who revealed the path against the raid, the one that burns up the raiders.
It is the war to erase the oppressor and establish the right of the laborers.
We are the people of the path; We are the people of the path.
The uprising is for the people and will advance in the Arab lands.
It will produce unity forever in the hearts and will establish justice and democracy.
Every century, every generation, every century, every generation.",son sahara battlefield torch holder long road make revolution nation follow path sake cut head invader cut head invader revolutionary homeland glorious cut estate region remove war cause protest abandon submission yield agent invader agent invader ask we one drive transforming struggle one smash idol one understand beautiful lesson people path people path one reveal path raid one burn raider war erase oppressor establish right laborer people path people path uprising people advance arab land produce unity forever heart establish justice democracy every century every generation every century every generation,90,63,0.7,-0.011111111111111112
bd,"My Bengal of gold, I love you.
Forever your skies, your air set my heart in tune as if it were a flute.
In spring, O mother mine, the fragrance from your mango groves makes me wild with joy,
Ah, what a thrill!
In autumn, O mother mine, in the full blossomed paddy fields I have seen spread all over sweet smiles.
Ah, what beauty, what shades, what an affection, and what tenderness!
What a quilt have you spread at the feet of banyan trees and along the banks of rivers!
O mother mine, words from your lips are like nectar to my ears.
Ah, what a thrill!
If sadness, O mother mine, casts a gloom on your face, my eyes are filled with tears!",bengal gold love forever sky air set heart tune flute spring mother mine fragrance mango grove make wild joy ah thrill autumn mother mine full blossomed paddy field see spread sweet smile ah beauty shade affection tenderness quilt spread foot banyan tree along bank river mother mine word lip like nectar ear ah thrill sadness mother mine cast gloom face eye fill tear,63,53,0.8412698412698413,0.031746031746031744
ae,"Live my country, the unity of our Emirates lives
You have lived for a nation
Whose religion is Islam and guide is the Qur’an
I made you stronger in God’s name, oh homeland
My country, My country, My country, My country
God has protected you from the evils of the time
We have sworn to build and work
Work sincerely, work sincerely
As long as we live, we will be sincere
The safety has lasted and the flag has lived oh our Emirates
The symbol of Arabism
We all sacrifice for you, we supply you with our blood
We sacrifice for you with our souls oh homeland",live country unity emirate live live nation whose religion islam guide quran make strong gods name oh homeland country country country country god protect evil time swear build work work sincerely work sincerely long live sincere safety last flag live oh emirate symbol arabism sacrifice supply blood sacrifice soul oh homeland,51,35,0.6862745098039216,0.0
id,"Indonesia, my native land
The land where I shed my blood
There, I stand
To be the guard of my motherland

Indonesia, my nationality
My nation and my homeland
Let us exclaim
“Indonesia unites!”

Long live my land, long live my state
My nation, my people, entirely
Build its soul, build its body
For the Great Indonesia

CHORUS:
Great Indonesia, independent & sovereign!
My land, my country which I love
Great Indonesia, independent & sovereign!
Long live Great Indonesia!

Great Indonesia, independent & sovereign!
My land, my country which I love
Great Indonesia, independent & sovereign!
Long live Great Indonesia!",indonesia native land land shed blood stand guard motherland indonesia nationality nation homeland let we exclaim indonesia unite long live land long live state nation people entirely build soul build body great indonesia chorus great indonesia independent sovereign land country love great indonesia independent sovereign long live great indonesia great indonesia independent sovereign land country love great indonesia independent sovereign long live great indonesia,64,29,0.453125,0.125
al,"Around our flag we are united,
With one will and one desire,
A sacred oath are now proclaiming
For our salvation to aspire.

CHORUS:
May only those avoid the struggle,
Those who are traitors to our laws,
Undaunted is a hero through and through,
He dies a martyr to the cause.",around flag united one one desire sacred oath proclaim salvation aspire chorus may avoid struggle traitor law undaunted hero die martyr cause,22,21,0.9545454545454546,0.0
