country,width,height,aspect_ratio,num_colors,colors,basic_colors,rect,circle,path,polygon,line,polyline,ellipse,text,aspect_ratio_category,total_elements
ad,1000.0,700.0,1.4285714285714286,9,"#0065bd,#d0103a,#ffffff,#c7b37f,#fcd900,#0018a8,#d52b1e,#fedf00,#703d29","cyan,red,white,yellow,yellow,blue,red,yellow,red",0,0,122,0,0,0,0,0,~3:2,122
ae,6.0,3.0,2.0,3,"#ffffff,#00843D,#C8102E","white,green,red",0,0,4,0,0,0,0,0,~2:1,4
af,900.0,600.0,1.5,3,"#d32011,#007a36,#ffffff","red,green,white",0,0,4,0,0,0,0,0,~3:2,4
ag,138.0,92.0,1.5,4,"#ce1126,#0072c6,#ffffff,#fcd116","red,cyan,white,yellow",0,0,5,0,0,0,0,0,~3:2,5
ai,1200.0,600.0,2.0,6,"#99ccff,#c8102e,#ffffff,#012169,#cccc33,#ff9900","blue,red,white,blue,yellow,yellow",0,3,13,0,0,0,0,0,~2:1,16
al,980.0,700.0,1.4,1,red,red,0,0,2,0,0,0,0,0,Between 1:1 and 3:2,2
am,6.0,3.0,2.0,3,"#F2A800,#0033A0,#D90012","yellow,blue,red",0,0,3,0,0,0,0,0,~2:1,3
ao,900.0,600.0,1.5,2,"#ffcb00,#cc092f","yellow,red",0,0,5,0,0,0,0,0,~3:2,5
ar,800.0,500.0,1.6,5,"#85340a,#ffffff,#74acdf,#843511,#f6b40e","red,white,cyan,red,yellow",0,2,11,0,0,0,0,0,~3:2,13
as,1000.0,500.0,2.0,8,"#999999,#5A3719,#000066,#7B3C20,#FFC221,#BD1021,#AA5323,#FFFFFF","gray,red,blue,red,yellow,red,red,white",0,0,71,0,0,0,0,0,~2:1,71
at,9.0,6.0,1.5,2,"#ed2939,#ffffff","red,white",0,0,2,0,0,0,0,0,~3:2,2
au,10080.0,5040.0,2.0,3,"#012169,#e4002b,#ffffff","blue,red,white",0,0,9,0,0,0,0,0,~2:1,9
aw,27.0,18.0,1.5,4,"#EF3340,#ffd100,#418fde,#FFFFFF","red,yellow,blue,white",0,0,3,0,0,0,0,0,~3:2,3
ax,26.0,17.0,1.5294117647058822,3,"#0064AD,#FFD300,#Da0e15","cyan,yellow,red",0,0,5,0,0,0,0,0,~3:2,5
az,1200.0,600.0,2.0,4,"#ed2939,#00b9e4,#3f9c35,#ffffff","red,cyan,green,white",0,2,4,0,0,0,0,0,~2:1,6
ba,16.0,8.0,2.0,3,"#ffffff,#fecb00,#002395","white,yellow,blue",0,0,4,0,0,0,0,0,~2:1,4
bb,24000.0,16000.0,1.5,3,"#ffc726,#00267f,#000000","yellow,blue,black",2,0,1,0,0,0,0,0,~3:2,3
bd,20.0,12.0,1.6666666666666667,2,"#006a4e,#f42a41","cyan,red",0,1,1,0,0,0,0,0,Between 3:2 and 2:1,2
be,45.0,39.0,1.1538461538461537,2,"#FAE042,#ED2939","yellow,red",0,0,3,0,0,0,0,0,Between 1:1 and 3:2,3
bf,900.0,600.0,1.5,3,"#ef2b2d,#009e49,#fcd116","red,green,yellow",0,0,3,0,0,0,0,0,~3:2,3
bg,5.0,3.0,1.6666666666666667,3,"#D62612,#00966E,#ffffff","red,cyan,white",0,0,3,0,0,0,0,0,Between 3:2 and 2:1,3
bh,1500.0,900.0,1.6666666666666667,2,"#ce1126,#ffffff","red,white",0,0,2,0,0,0,0,0,Between 3:2 and 2:1,2
bi,500.0,300.0,1.6666666666666667,3,"#ffffff,#ce1126,#1eb53a","white,red,green",0,1,4,0,0,0,0,0,Between 3:2 and 2:1,5
bj,3.0,2.0,1.5,3,"#E8112D,#FCD116,#008751","red,yellow,cyan",0,0,3,0,0,0,0,0,~3:2,3
bl,3.0,2.0,1.5,3,"#EC1920,#ffffff,#051440","red,white,blue",0,0,3,0,0,0,0,0,~3:2,3
